Aamir Khan	14th March 1965
Abhishek Bachchan	5th February 1976
Ajay Devgan	2nd April 1969
Akshay Khanna	4th April 1975
Akshay Kumar	9th September 1967
Amitabh Bachchan	11th October 1942
Anil Kapoor	24th December 1959
Arjun Rampal	26th November 1972
Bobby Deol	27th January 1967
Dharmendra	8th December 1935
Dino Morea	9th December 1975
Emran Hashmi	24th March 1979
Fardeen Khan	8th March 1974
Govinda	21st December 1958
Hrithik Roshan	10th January 1974
John Abraham	17th December 1972
Kamal Hassan	7th November 1954
R Madhavan	1st June 1970
Nana Patekar	1st January 1951
Rajesh Khanna	24th December 1942
Ranbir Kapoor	28th September 1982
Saif Ali Khan	16th August 1970
Salman Khan	27th December 1965
Sanjay Dutt	29th July 1959
Shahid Kapoor	25th February 1981
Shahrukh khan	2nd November 1965
Sonu Nigam	30th July 1973
Sunil Shetty	11th August 1961
Sunny Deol	19th October 1956
Vivek Oberoi	3rd September 1976
