Atal Vajpai	25th December 1946
Lalkrishna Advani	9th June 1949
Narendra Modi	23rd October 1953
Gopinath Munde	29th December 1949
Indira Gandhi	6th February 1940
Rajnath Singh	20th November 1954
Arun Jetali	25th December 1959
Nithin Gadkari	2nd March 1964
Smiti Irani		24th December 1964
Navin Patnaik	11th January 1961
Prithviraj Chavan	20th May 1959
Ashok Chavan	06th December 1963
VilasRao Deshmukh	24th April 1947
Kumari Mayawti	8th July 1963
Mamta Banarjee	20th October 1967
Pranav Mukharjee	1st November 1946
Sushma Swaraj	16th February 1964
Sachin Pilot	12th December 1971
Narayan Rane	7th October 1967
Laloo Yadav	17th July 1952
P Chidambaram	27th September 1945
Vijay Darda	17th May 1956
Rajendra Darda	13th June 1957
Raj Thakrey	20th November 1974
Aravin Kejriwal	24th December 1976
Mayank Gandhi	17th February 1968
Manish Sisodia	10th June 1967
