Adam Gilchrist	14th November 1971
Andrew Symonds	9th June 1975
Brad Haddin	23rd October 1977
Brad Hodge	29th December 1974
Brad Hogg	6th February 1971
Brad William	20th November 1974
Alastair Cook	25th December 1984
Andrew Strauss	2nd March 1977
Piyush Chawla	24th December 1988
Rahul Dravid	11th January 1973
Ramesh Powar	20th May 1978
RP Singh	06th December 1985
Sachin Tendulkar	24th April 1973
Sourav Ganguly	8th July 1972
Virender Shewag	20th October 1978
VVS Laxman	1st November 1974
Wasim Jaffer	16th February 1978
Yuvraj Singh	12th December 1981
Zaheer Khan	7th October 1978
Andre Adams	17th July 1975
Brendon McCullum	27th September 1981
Carl Cachopa	17th May 1986
Chris Cairns	13th June 1970
Chris Harris	20th November 1969
Chris Martin	10th December 1974
AB deVilliers	17th February 1984
Albie Morkel	10th June 1981
